,s_can,s_cal,s_ih,s_kdr,s_kv31,s_skca,s_nal,s_na,gpas,dp_cat,dp_kdr,dp_kv31,dp_skca,dp_nal,dp_na,dp_can,dp_cal,dd_cat,dd_kdr,dd_kv31,dd_skca,dd_nal,dd_na,dd_can,dd_cal,r_kdr,r_na,r_kv31,r_cat,r_cacum_s,r_cacum_d
26,0.0009451040532439947,0.00019291031640022993,0.00018180177721660584,0.00016943563241511583,0.0062621720135211945,6.43958046566695e-05,1.634059299249202e-05,0.001970740268006921,4.719140997622162e-05,0.0021001920104026794,0.005249059293419123,0.01455484889447689,5.8664016250986606e-05,3.0015223728696583e-06,0.0034276056103408337,0.004730894695967436,0.003907425794750452,0.0053396522998809814,0.006151056382805109,0.005600337404757738,9.77318049990572e-05,1.0659037798177451e-05,4.5090815547155216e-05,0.004708496853709221,0.0026465130504220724,0.4673003852367401,0.7973694801330566,4.148845672607422,0.28149285912513733,6.796436786651611,2.4317188262939453
27,0.0012470604851841927,0.0009617768228054047,0.00023953623895067722,1.0000000656873453e-05,0.00485033355653286,8.598565182182938e-05,1.4048823686607648e-05,0.0018599374452605844,3.368983743712306e-05,0.003772002412006259,0.005774000193923712,0.01051858626306057,5.905554644414224e-05,1.2468228305806406e-05,0.0024635475128889084,0.0031445787753909826,0.0003675008483696729,0.0021928788628429174,0.007156566716730595,0.023746028542518616,9.008397319121286e-05,1.3145888260623906e-05,0.00020816644246224314,0.004828349221497774,0.0009923222241923213,0.38934725522994995,0.8785352110862732,3.2086219787597656,0.19774684309959412,6.281093597412109,1.8226547241210938
28,0.0012902908492833376,0.0009089296218007803,0.00010788468352984637,0.00035199779085814953,0.006449008826166391,4.6701352403033525e-05,1.341156803391641e-05,0.0023754232097417116,4.286808689357713e-05,0.0014766071690246463,0.0046457815915346146,0.01711271144449711,8.93206088221632e-05,9.361291631648783e-06,0.004610906355082989,0.0001057413246599026,0.004019260872155428,0.00559264374896884,0.003953390754759312,0.015073402784764767,6.362264684867114e-05,1.5198709661490284e-05,0.0003819370176643133,0.00473548611626029,0.0011474440107122064,0.409111350774765,0.5242440700531006,6.158614158630371,0.22967591881752014,6.10023307800293,3.9991672039031982
29,0.0009675535839051008,0.0006791480118408799,0.00013979167852085084,0.0004740461299661547,0.009170835837721825,2.7553127438295633e-05,8.123669431370217e-06,0.0029132161289453506,4.1958785004680976e-05,0.003033836605027318,0.005612965207546949,0.024580400437116623,1.2550744031614158e-05,1.0376293175795581e-05,0.004434945061802864,0.0013627581065520644,0.0007460181368514895,0.0013980488292872906,0.001162375439889729,0.023822933435440063,5.927281381445937e-05,1.0574995030765422e-05,0.00017558310355525464,0.004451530519872904,0.000994260422885418,0.3511158227920532,0.4772105813026428,8.68811321258545,0.25282779335975647,7.50263786315918,3.6114351749420166
30,0.0010004029609262943,0.0007988035795278847,0.00020151019270997494,0.0005689501413144171,0.00641019968315959,3.0441140552284196e-05,1.1534004443092272e-05,0.002371416660025716,3.9902155549498275e-05,0.002283481415361166,0.004892690572887659,0.018000613898038864,6.214775203261524e-05,1.2442145816748962e-05,0.0037197682540863752,0.0023186698090285063,0.0015963210025802255,0.003549855435267091,0.0003843714075628668,0.015058775432407856,8.382774103665724e-05,9.333251909993123e-06,0.00015237405023071915,0.0018250701250508428,0.0037715481594204903,0.3656001389026642,0.5478280186653137,7.132856845855713,0.22883814573287964,7.035373687744141,4.027363300323486
31,0.000706391641870141,0.0008294135332107544,0.00012337759835645556,0.0005188996437937021,0.006140278186649084,7.290812209248543e-05,1.272276585950749e-05,0.0024130172096192837,5.383045572671108e-05,0.0028044963255524635,0.0028828501235693693,0.012544008903205395,1.6692434655851685e-05,1.3117620255798101e-05,0.0044335913844406605,0.0010802000761032104,0.004440434277057648,0.0017035087803378701,0.0053885034285485744,0.015154348686337471,7.771173841319978e-05,4.382637825983693e-07,0.00019611918833106756,0.0014186581829562783,0.00024604867212474346,0.35769927501678467,0.5437818765640259,5.966110706329346,0.24064627289772034,4.641469955444336,2.9702041149139404
32,0.001079849898815155,0.0004054377495776862,0.00015810471086297184,0.0004744028265122324,0.008917114697396755,3.346438461448997e-05,1.2491754205257166e-05,0.00227144337259233,3.3517233532620594e-05,0.0010024927323684096,0.007567206397652626,0.0251474529504776,4.7240828280337155e-05,1.0556103916314896e-05,0.005818403325974941,0.0028323684819042683,0.001442912151105702,0.004007319454103708,0.009667891077697277,0.01944730617105961,8.789201092440635e-05,1.0019409273809288e-05,0.0005967707256786525,0.000981016200967133,0.004142750054597855,0.37215521931648254,0.682969331741333,8.578322410583496,0.12096857279539108,5.9622416496276855,3.69673228263855
33,0.0013005547225475311,0.0006816029199399054,0.0002191264065913856,8.243425691034645e-05,0.006770654581487179,3.424099850235507e-05,1.1846651432279032e-05,0.001960507594048977,3.907434074790217e-05,0.0030161540489643812,0.004519482143223286,0.008891824632883072,9.365828009322286e-05,1.031133251672145e-05,0.005270186346024275,0.0021602397318929434,0.003128708340227604,0.002695490838959813,0.004887087270617485,0.01912715472280979,4.922443622490391e-05,1.1658098628686275e-05,9.999999960041972e-13,0.000610596442129463,0.002566537819802761,0.32553932070732117,0.760221004486084,3.9881560802459717,0.21155540645122528,6.470434188842773,3.3843963146209717
34,0.0013401261530816555,0.00041811043047346175,0.00014165518223308027,0.0003010622167494148,0.004816391039639711,7.393637497443706e-05,1.4601200746255927e-05,0.002413603011518717,3.877416020259261e-05,0.0024363764096051455,0.0049897185526788235,0.02030673809349537,5.311062341206707e-05,9.430857971892692e-06,0.005457197781652212,0.0010713677620515227,0.004082700703293085,0.006314799655228853,0.0016379649750888348,0.0239692572504282,8.226507634390146e-05,1.1296330740151461e-05,0.0007101669907569885,0.003980327397584915,0.0015973090194165707,0.4010295271873474,0.5105211138725281,6.734312057495117,0.2721641957759857,5.305078506469727,3.1946232318878174
35,0.001250215107575059,0.0006301851244643331,0.00017517374362796545,0.0009354559006169438,0.009660892188549042,1.7034522898029536e-05,1.2241815966262948e-05,0.0024888678453862667,5.4145388276083395e-05,0.0018831727793440223,0.0027556538116186857,0.010184235870838165,6.733305781381205e-05,3.8502997767864144e-07,0.003384317271411419,0.0017664345214143395,0.0013092823792248964,0.002853916957974434,0.0010689058108255267,0.014564133249223232,1.904202508740127e-05,3.3921050999197178e-06,9.999999960041972e-13,0.004159593489021063,0.0023473710753023624,0.41004568338394165,0.5698330998420715,5.716297149658203,0.22634488344192505,8.0,2.859506130218506
36,0.0019701141864061356,0.000598038372118026,0.00021570448006968945,0.00041458397754468024,0.006734931375831366,1.1319328223180491e-05,1.1530300980666652e-05,0.0018047477351501584,4.0118135075317696e-05,0.004230328369885683,0.007416968233883381,0.02108321525156498,6.14122545812279e-05,4.8451956899953075e-06,0.0036899172700941563,0.0007610645261593163,0.004725646693259478,0.0012174530420452356,0.0014632174279540777,0.015908602625131607,8.877067011781037e-05,1.4401918633666355e-05,0.0004301440203562379,0.0040403068996965885,0.0033580148592591286,0.47326481342315674,1.0821186304092407,4.386241912841797,0.2711890637874603,6.0286970138549805,4.14751672744751
37,0.0015638170298188925,0.0005105666350573301,0.00014502881094813347,0.0005363674717955291,0.0049127740785479546,3.232226299587637e-05,1.4941796507628169e-05,0.002345388988032937,3.9053054933901876e-05,0.0035102355759590864,0.004594327881932259,0.027422407642006874,7.331107917707413e-05,5.474556019180454e-06,0.002175309229642153,0.004140669479966164,0.00400549964979291,0.004332678858190775,0.007956086657941341,0.029126649722456932,6.637141632381827e-05,7.206097052403493e-06,0.0006635808967985213,0.002823613351210952,0.0011124401353299618,0.31204697489738464,0.5400857925415039,4.828005790710449,0.26822981238365173,4.266194820404053,3.016505718231201
38,0.0016057882457971573,0.00048611024976707995,0.00019365729531273246,0.0002015124337049201,0.0036920099519193172,8.983102452475578e-05,1.5385434380732477e-05,0.0027967512141913176,4.001004344900139e-05,0.0024587013758718967,0.005289222113788128,0.029796117916703224,2.1992178517393768e-05,7.62341323934379e-06,0.003450915450230241,0.004034899640828371,0.002741133561357856,0.006352188531309366,0.0034055684227496386,0.014204057864844799,9.305462299380451e-05,6.488627150247339e-06,7.805768109392375e-05,0.0019148538121953607,0.0036074414383620024,0.3842812478542328,0.4013679325580597,5.993633270263672,0.3007916510105133,6.971406936645508,1.731399416923523
39,0.0013913610018789768,0.00033875630469992757,0.00021764989651273936,0.0004517938650678843,0.0033243566285818815,6.380556442309171e-05,1.2417344805726316e-05,0.0025282613933086395,4.045833338750526e-05,0.002713873516768217,0.003427867777645588,0.015486221760511398,5.346842954168096e-05,1.230061116075376e-05,0.004100484307855368,0.0011583983432501554,0.0013772459933534265,0.003357839770615101,0.007701204624027014,0.015517385676503181,8.247990626841784e-05,9.445775503991172e-06,0.0006063387263566256,0.0005079035181552172,0.0013687250902876258,0.36660829186439514,0.45544981956481934,6.50387716293335,0.20657064020633698,7.054333686828613,2.3594424724578857
40,0.0012654560850933194,0.0003401954600121826,0.00018864763842429966,0.00016743740707170218,0.005665263626724482,5.043103010393679e-05,1.3240884982224088e-05,0.0022878313902765512,4.9963462515734136e-05,0.002969958120957017,0.004859182517975569,0.010801204480230808,6.021290391799994e-05,3.422176177991787e-06,0.003978907596319914,0.003002271754667163,0.0016918511828407645,0.0032429995480924845,0.003616431262344122,0.010181928053498268,6.321638647932559e-05,1.1734785402950365e-05,6.235521141206846e-06,0.003757619531825185,0.0025055473670363426,0.3831880986690521,0.5653477907180786,4.899763107299805,0.2850174605846405,7.145699501037598,4.093903064727783
41,0.0013350374065339565,0.000989892752841115,0.00018962453759741038,0.0002846621791832149,0.006615821272134781,5.129643977852538e-05,1.5079869626788422e-05,0.0019610216841101646,4.618885213858448e-05,0.003223824081942439,0.0056954436004161835,0.010206365957856178,4.7729605284985155e-05,3.0087940103840083e-06,0.005773899611085653,0.0018973243422806263,0.0004965419066138566,0.0041939690709114075,0.002611509757116437,0.025633104145526886,6.406884494936094e-05,4.15871863879147e-06,0.00035802199272438884,0.001292668515816331,0.003973590210080147,0.43750330805778503,0.7437798380851746,6.299838066101074,0.2780662775039673,7.543340682983398,3.000615358352661
